;Artiest;Titel;Year of Release;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Nr_of_times_in-top2000;Average_Rank;Highest_rank;Lowest_rank
0;Queen;Bohemian Rhapsody;1975;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;2;2;1;18;1.2222222222222223;1;2
1;Eagles;Hotel California;1977;2;4;3;3;2;2;3;3;3;2;2;1;2;2;2;1;3;2;18;2.3333333333333335;1;4
2;Led Zeppelin;Stairway to heaven;1971;4;3;4;4;4;4;5;5;5;5;4;5;5;3;3;3;5;3;18;4.111111111111111;3;5
3;Billy Joel;Piano man;1974;121;83;57;58;60;66;49;54;34;50;45;45;29;36;18;7;6;4;18;45.666666666666664;4;121
4;Deep Purple;Child in Time;1972;3;2;2;2;3;3;4;4;4;4;5;4;3;4;4;4;8;5;18;3.7777777777777777;2;8
5;Boudewijn de Groot;Avond;1997;428;121;41;25;8;5;1;2;2;3;3;3;4;5;5;5;7;6;18;37.44444444444444;1;428
6;David Bowie;Heroes;1977;70;62;77;63;71;99;137;125;130;112;123;112;145;119;79;34;60;7;18;90.27777777777777;7;145
7;Claudia de Breij;Mag ik dan bij jou;2011;*;*;*;*;*;*;*;*;*;*;*;*;-;1565;472;19;4;8;5;413.6;4;1565
8;Pink Floyd;Wish you were here;1975;-;45;25;29;20;21;16;8;14;12;9;6;7;6;6;6;9;9;17;14.588235294117647;6;45
9;Pearl Jam;Black;1993;-;-;-;-;-;-;-;-;-;-;803;452;40;24;16;12;12;10;8;171.125;10;803
10;Coldplay;Fix You;2005;*;*;*;*;*;*;-;-;-;-;1494;235;69;40;20;15;10;11;8;236.75;10;1494
11;John Lennon;Imagine;1971;7;7;11;11;13;9;15;15;41;15;41;26;28;22;23;38;1;12;18;18.61111111111111;1;41
12;Prince & The Revolution;Purple Rain;1984;54;90;160;120;160;104;152;126;148;132;169;79;80;74;77;71;62;13;18;103.94444444444444;13;169
13;Bruce Springsteen;The river;1981;48;33;26;19;30;20;27;40;11;21;30;30;10;15;7;16;17;14;18;23.0;7;48
14;Metallica;Nothing Else Matters;1992;-;-;1014;99;16;19;20;10;15;14;19;11;14;14;9;11;16;15;16;82.25;9;1014
15;Pink Floyd;Comfortably Numb;1979;-;74;-;1356;358;53;25;19;17;34;15;13;12;10;8;8;11;16;16;126.8125;8;1356
16;Guns N' Roses;November Rain;1992;-;10;18;17;6;7;10;13;20;9;16;17;17;12;13;10;13;17;17;13.235294117647058;6;20
17;The Beach Boys;God Only Knows;1966;123;117;137;110;117;88;80;68;42;59;20;20;31;44;59;13;19;18;18;64.72222222222223;13;137
18;Dire Straits;Brothers in arms;1985;28;22;7;9;11;15;19;20;19;13;21;19;15;11;11;14;15;19;18;16.0;7;28
19;Pink Floyd;Shine On You Crazy Diamond;1975;-;50;47;33;26;25;12;14;21;19;13;15;16;7;10;9;14;20;17;20.647058823529413;7;50
20;AC/DC;Thunderstruck;1990;-;-;-;-;-;-;-;-;-;-;1086;882;61;48;54;24;27;21;8;275.375;21;1086
21;Golden Earring;Radar Love;1973;23;21;21;27;27;12;13;16;23;17;24;16;18;18;24;26;31;22;18;21.055555555555557;12;31
22;Simon & Garfunkel;The Sound of Silence;1966;49;71;61;64;76;85;101;81;153;92;82;74;58;70;32;42;44;23;18;69.88888888888889;23;153
23;Racoon;Oceaan;2013;*;*;*;*;*;*;*;*;*;*;*;*;*;*;33;21;21;24;4;24.75;21;33
24;Metallica;One;1994;-;-;-;-;478;23;40;30;13;35;31;34;32;20;14;18;20;25;14;58.07142857142857;13;478
25;Dire Straits;Sultans of Swing;1978;20;16;10;16;15;27;28;27;28;23;32;25;30;28;21;27;25;26;18;23.555555555555557;10;32
26;Meat Loaf;Paradise by the Dashboard Light;1978;5;5;5;5;5;6;6;7;10;6;12;9;11;19;22;17;30;27;18;11.5;5;30
27;Johnny Cash;Hurt;2002;*;*;*;-;-;-;-;-;-;-;168;118;43;29;17;29;26;28;8;57.25;17;168
28;Leonard Cohen;Hallelujah;1984;-;-;-;-;-;-;-;-;-;-;1838;-;163;142;173;154;188;29;7;383.85714285714283;29;1838
29;Toto;Africa;1982;34;49;33;39;52;63;70;75;110;66;100;97;87;62;28;51;42;30;18;60.44444444444444;28;110
30;U2;One;1992;-;-;689;766;82;14;17;6;8;10;14;14;13;17;19;22;24;31;16;109.125;6;766
31;Nirvana;Smells Like Teen Spirit;1991;-;-;-;-;-;-;105;53;62;124;48;71;36;30;26;31;34;32;12;54.333333333333336;26;124
32;Coldplay;Viva la vida;2008;*;*;*;*;*;*;*;*;*;-;11;7;9;16;15;23;28;33;8;17.75;7;33
33;Pearl Jam;Just Breathe;2009;*;*;*;*;*;*;*;*;*;*;-;120;114;94;69;46;39;34;7;73.71428571428571;34;120
34;Queen;Innuendo;1991;-;-;-;-;-;-;-;393;117;470;96;101;63;54;44;44;38;35;11;132.27272727272728;35;470
35;Coldplay;Clocks;2003;*;*;*;*;733;10;7;9;6;11;8;8;8;9;12;20;29;36;14;64.71428571428571;6;733
36;The Alan Parsons Project;Old and Wise;1982;24;28;13;8;9;11;9;11;9;8;18;10;20;21;31;28;37;37;18;18.444444444444443;8;37
37;David Bowie;Space Oddity;1969;59;75;144;104;135;78;191;205;278;156;156;185;202;205;161;130;139;38;18;146.72222222222223;38;278
38;The Beatles;Hey Jude;1968;11;6;9;15;18;18;14;22;18;16;23;24;24;33;45;58;48;39;18;24.5;6;58
39;The Cure;A Forest;1980;-;44;82;67;61;62;87;85;71;71;68;69;76;42;50;49;41;40;17;62.64705882352941;40;87
40;Coldplay;The Scientist;2002;*;*;*;-;-;-;-;-;-;-;84;89;39;34;29;36;35;41;8;48.375;29;89
41;Guus Meeuwis;Brabant;2004;*;*;*;*;*;-;144;37;25;74;22;23;22;27;27;33;22;42;12;41.5;22;144
42;Fleetwood Mac;Go Your Own Way;1977;64;67;73;71;69;79;77;94;102;85;63;67;71;81;41;30;40;43;18;67.61111111111111;30;102
43;Pearl Jam;Alive;1992;-;-;-;-;-;-;-;-;591;1870;49;202;95;59;57;59;61;44;10;308.7;44;1870
44;Amy Winehouse;Back to black;2006;*;*;*;*;*;*;*;-;-;-;-;-;1089;97;175;153;98;45;6;276.1666666666667;45;1089
45;The Doors;Riders on the storm;1971;12;14;12;10;12;16;24;26;33;22;26;27;23;32;30;40;49;46;18;25.22222222222222;10;49
46;Adele;Someone Like You;2011;*;*;*;*;*;*;*;*;*;*;*;*;6;8;25;35;18;47;6;23.166666666666668;6;47
47;Supertramp;School;1974;26;17;16;14;21;34;37;36;52;33;46;44;37;35;37;41;52;48;18;34.77777777777778;14;52
48;U2;Sunday bloody sunday;1985;18;13;31;24;37;29;39;41;65;41;57;55;66;55;62;62;57;49;18;44.5;13;66
49;Red Hot Chili Peppers;Under the Bridge;1992;-;-;-;-;-;-;-;71;72;185;35;59;54;60;43;64;66;50;11;69.0;35;185
50;Guns N' Roses;Sweet Child o' Mine;1988;-;-;-;-;-;-;-;-;144;890;89;103;67;57;58;65;55;51;10;157.9;51;890
51;Simon & Garfunkel;Bridge over troubled water;1970;9;27;17;32;32;45;42;43;66;43;39;32;33;38;38;48;59;52;18;38.611111111111114;9;66
52;Dire Straits;Telegraph Road;1982;-;-;-;-;-;-;-;329;85;371;81;73;97;73;52;52;43;53;11;119.0;43;371
53;Phil Collins;In the Air Tonight;1981;72;127;81;81;56;75;106;102;143;95;109;113;115;102;106;97;87;54;18;95.61111111111111;54;143
54;Wim Sonneveld;Het dorp;1974;36;32;39;38;48;47;44;29;53;42;40;40;57;69;36;39;45;55;18;43.833333333333336;29;69
55;Otis Redding;(Sittin' on) The Dock of the Bay;1968;240;450;371;344;239;257;285;253;297;259;195;155;84;31;51;67;82;56;18;206.44444444444446;31;450
56;Paolo Nutini;Iron sky;2014;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;-;47;57;2;52.0;47;57
57;Queen;Somebody to Love;1976;82;65;88;74;104;119;126;129;150;122;134;116;104;87;91;81;65;58;18;99.72222222222223;58;150
58;U2;With or Without You;1987;51;26;52;35;40;38;47;48;48;46;62;62;86;53;47;45;56;59;18;50.05555555555556;26;86
59;The Rolling Stones;Sympathy for the devil;1973;29;34;44;28;14;26;38;45;59;38;43;43;46;50;35;37;46;60;18;39.72222222222222;14;60
60;The Rolling Stones;Paint it black;1966;33;48;62;60;54;54;68;57;107;63;65;63;82;43;49;57;50;61;18;59.77777777777778;33;107
61;Metallica;Enter Sandman;1991;-;-;-;-;-;-;-;-;-;-;144;176;137;89;67;79;81;62;8;104.375;62;176
62;Acda en De Munnik;Het regent zonnestralen;1998;-;-;-;-;1061;97;60;64;31;67;61;52;60;98;87;77;63;63;14;138.64285714285714;31;1061
63;Queen;Love of My Life;1975;-;82;108;97;111;115;78;69;82;82;73;78;75;76;82;69;74;64;17;83.23529411764706;64;115
64;AC/DC;Highway to hell;1979;-;-;-;-;-;-;-;-;-;-;-;-;128;114;121;66;91;65;6;97.5;65;128
65;Pink Floyd;Another Brick in the Wall (part two);1979;17;20;20;26;39;32;52;46;86;45;56;47;53;39;48;56;72;66;18;45.55555555555556;17;86
66;Dire Straits;Private Investigations;1982;57;19;14;7;17;24;29;31;35;25;37;36;47;49;66;70;67;67;18;38.72222222222222;7;70
67;The Beatles;Let it be;1970;27;37;40;47;23;41;55;58;57;49;54;46;56;52;39;50;51;68;18;47.22222222222222;23;68
68;Ramses Shaffy & Liesbeth List;Pastorale;1969;80;119;58;40;51;43;33;24;51;40;6;21;27;46;42;47;71;69;18;48.22222222222222;6;119
69;Rage Against the Machine;Killing in the Name;1992;-;-;-;-;-;-;-;-;-;-;-;-;1454;188;94;87;94;70;6;331.1666666666667;70;1454
70;The Animals;The House of the Rising Sun;1964;13;12;6;6;7;8;8;12;7;7;29;18;25;51;55;78;84;71;18;27.61111111111111;6;84
71;Adele;Hello;2015;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;23;72;2;47.5;23;72
72;AC/DC;Whole Lotta Rosie;1978;53;29;15;13;19;17;21;33;12;18;17;28;34;45;64;43;53;73;18;32.611111111111114;12;73
73;Robbie Williams;Angels;1998;-;-;364;114;24;44;11;18;39;24;34;37;55;41;40;75;80;74;16;67.125;11;364
